"location","sex","age","cause","metric","year","cause_outline","cause_id","parent_id","level","Parent_cause","DALYs (Disability-Adjusted Life Years)","Deaths","Incidence","Prevalence","YLDs (Years Lived with Disability)","YLLs (Years of Life Lost)"
"West Sussex","Female","All Ages","Rabies","Number",1997,"A.4.13","359","344","3","Neglected tropical diseases and malaria",0.432166034150306,0.00865248087157936,0.00999029624405,0.000384242163233,0.0000513112361167,0.43211472291419
"West Sussex","Female","All Ages","Intestinal nematode infections","Number",1997,"A.4.14","360","344","3","Neglected tropical diseases and malaria",0.0320777082263641,0.00140345743921365,NA,0,0,0.0320777082263641
"West Sussex","Female","All Ages","Food-borne trematodiases","Number",1997,"A.4.15","364","344","3","Neglected tropical diseases and malaria",0,NA,0,0,0,NA
"West Sussex","Female","All Ages","Leprosy","Number",1997,"A.4.16","405","344","3","Neglected tropical diseases and malaria",0.0000785259069707094,NA,0,0.00117213691084,0.0000785259069707,NA
"West Sussex","Female","All Ages","Ebola","Number",1997,"A.4.17","843","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Female","All Ages","Zika virus","Number",1997,"A.4.18","935","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Female","All Ages","Guinea worm disease","Number",1997,"A.4.19","936","344","3","Neglected tropical diseases and malaria",0,NA,0,0,0,NA
"West Sussex","Female","All Ages","Chagas disease","Number",1997,"A.4.2","346","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Female","All Ages","Other neglected tropical diseases","Number",1997,"A.4.20","365","344","3","Neglected tropical diseases and malaria",0.54416715296828,0.0111498350208655,NA,0,0.00000398818186389,0.544163164786416
"West Sussex","Female","All Ages","Leishmaniasis","Number",1997,"A.4.3","347","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Female","All Ages","African trypanosomiasis","Number",1997,"A.4.4","350","344","3","Neglected tropical diseases and malaria",0,0,0,0,0,0
"West Sussex","Female","All Ages","Schistosomiasis","Number",1997,"A.4.5","351","344","3","Neglected tropical diseases and malaria",0,0,NA,0,0,0
"West Sussex","Female","All Ages","Cysticercosis","Number",1997,"A.4.6","352","344","3","Neglected tropical diseases and malaria",112.779608391999,0.00953406546004949,NA,498.261106174,112.542122166,0.237486226198477
"West Sussex","Female","All Ages","Cystic echinococcosis","Number",1997,"A.4.7","353","344","3","Neglected tropical diseases and malaria",0.243023062916391,0.0140288482139575,0,0,0,0.243023062916392
"West Sussex","Female","All Ages","Lymphatic filariasis","Number",1997,"A.4.8","354","344","3","Neglected tropical diseases and malaria",0,NA,NA,0,0,NA
"West Sussex","Female","All Ages","Onchocerciasis","Number",1997,"A.4.9","355","344","3","Neglected tropical diseases and malaria",0,NA,NA,0,0,NA
"West Sussex","Female","All Ages","Meningitis","Number",1997,"A.5.1","332","961","3","Other infectious diseases",152.552220053712,3.40395104968449,116.982071506,291.698002729,26.412927705,126.139292348694
"West Sussex","Female","All Ages","Encephalitis","Number",1997,"A.5.2","337","961","3","Other infectious diseases",19.9063899722035,0.542644799114553,32.9726756966,84.020779558,6.27135683017,13.6350331420352
"West Sussex","Female","All Ages","Diphtheria","Number",1997,"A.5.3","338","961","3","Other infectious diseases",0.0880994460230081,0.00132430450243849,0.00695463204708,0.000522888191196,0.0000393779217286,0.0880600681012796
"West Sussex","Female","All Ages","Whooping cough","Number",1997,"A.5.4","339","961","3","Other infectious diseases",2.12459215282032,0.00190741341893999,286.708124779,39.2750855862,1.9718519193,0.152740233518365
"West Sussex","Female","All Ages","Tetanus","Number",1997,"A.5.5","340","961","3","Other infectious diseases",0.433084536720367,0.0252222720221849,0.0330141013999,0.0022437498873,0.000251714847102,0.432832821873265
"West Sussex","Female","All Ages","Measles","Number",1997,"A.5.6","341","961","3","Other infectious diseases",0.699234544079118,0.00882517488052395,23.6650157891,0.648356447877,0.0596982250099,0.639536319069229
"West Sussex","Female","All Ages","Varicella and herpes zoster","Number",1997,"A.5.7","342","961","3","Other infectious diseases",32.431567549554,1.16246317498092,3957.06500937,397.152421155,19.3276800987,13.103887450834
"West Sussex","Female","All Ages","Acute hepatitis","Number",1997,"A.5.8","400","961","3","Other infectious diseases",24.8389336980525,0.519749602522551,4754.90830873,402.287038533,10.6077665086,14.2311671894481
"West Sussex","Female","All Ages","Other unspecified infectious diseases","Number",1997,"A.5.9","408","961","3","Other infectious diseases",99.1819374963798,2.30126824019132,0,1850.77017538,41.8535933984,57.3283440979964
"West Sussex","Female","All Ages","Maternal disorders","Number",1997,"A.6.1","366","962","3","Maternal and neonatal disorders",66.6766904670854,0.634975360451793,4534.47079149,563.546843098,32.0836237894,34.5930666776705
"West Sussex","Female","All Ages","Neonatal disorders","Number",1997,"A.6.2","380","962","3","Maternal and neonatal disorders",1915.72926920894,9.27125438621218,508.517908158,5700.10367508,1101.56836362,814.160905589516
"West Sussex","Female","All Ages","Protein-energy malnutrition","Number",1997,"A.7.1","387","386","3","Nutritional deficiencies",6.17859517961995,0.495155761970637,1420.86808823,1397.52437005,0.0695996552973,6.10899552432263
"West Sussex","Female","All Ages","Iodine deficiency","Number",1997,"A.7.2","388","386","3","Nutritional deficiencies",64.2745901003333,NA,86.3561741857,6109.96436444,64.2745901003,NA
"West Sussex","Female","All Ages","Vitamin A deficiency","Number",1997,"A.7.3","389","386","3","Nutritional deficiencies",44.209573882781,NA,7532.60761204,5049.22416976,44.2095738828,NA
"West Sussex","Female","All Ages","Dietary iron deficiency","Number",1997,"A.7.4","390","386","3","Nutritional deficiencies",753.502254411112,NA,NA,41367.2693973,753.502254411,NA
"West Sussex","Female","All Ages","Other nutritional deficiencies","Number",1997,"A.7.5","391","386","3","Nutritional deficiencies",6.28504462681422,0.606826854600671,NA,NA,0.00635751390558,6.27868711290864
"West Sussex","Female","All Ages","Lip and oral cavity cancer","Number",1997,"B.1.1","444","410","3","Neoplasms",136.784010004909,7.94136832455663,23.8569467628,111.373854328,10.414385575,126.369624429949
"West Sussex","Female","All Ages","Larynx cancer","Number",1997,"B.1.10","423","410","3","Neoplasms",39.0429759960236,2.1442986468733,3.75921802999,20.8847349245,2.23827703359,36.8046989624299
"West Sussex","Female","All Ages","Tracheal, bronchus, and lung cancer","Number",1997,"B.1.11","426","410","3","Neoplasms",3039.54745745158,177.912285323929,218.910621515,361.687233665,54.1960330515,2985.35142440008
"West Sussex","Female","All Ages","Malignant skin melanoma","Number",1997,"B.1.12","459","410","3","Neoplasms",528.794923168017,23.1433831278022,185.822901805,1464.96338308,85.5259126715,443.269010496553
"West Sussex","Female","All Ages","Non-melanoma skin cancer","Number",1997,"B.1.13","462","410","3","Neoplasms",39.8282645557073,3.44430476133064,960.507609029,127.652281888,3.99572152205,35.8325430336542
"West Sussex","Female","All Ages","Breast cancer","Number",1997,"B.1.14","429","410","3","Neoplasms",5158.88752914181,236.180008220659,795.474626414,7117.30161754,571.806749001,4587.0807801405
"West Sussex","Female","All Ages","Cervical cancer","Number",1997,"B.1.15","432","410","3","Neoplasms",567.536565388248,25.061729876924,58.5809004598,359.211469251,28.6759446912,538.860620697016
"West Sussex","Female","All Ages","Uterine cancer","Number",1997,"B.1.16","435","410","3","Neoplasms",263.24409370454,14.6037089567999,65.8201892884,474.30560603,33.6076609374,229.636432767173
"West Sussex","Female","All Ages","Ovarian cancer","Number",1997,"B.1.17","465","410","3","Neoplasms",1676.79928759713,82.1919289429383,117.888928047,499.553068864,66.9925706927,1609.80671690439
"West Sussex","Female","All Ages","Prostate cancer","Number",1997,"B.1.18","438","410","3","Neoplasms",0,NA,0,0,0,NA
"West Sussex","Female","All Ages","Testicular cancer","Number",1997,"B.1.19","468","410","3","Neoplasms",0,NA,NA,NA,NA,NA
"West Sussex","Female","All Ages","Nasopharynx cancer","Number",1997,"B.1.2","447","410","3","Neoplasms",20.9645850985532,0.901590626732591,1.51838970162,7.2512273941,0.684341295512,20.2802438030414
"West Sussex","Female","All Ages","Kidney cancer","Number",1997,"B.1.20","471","410","3","Neoplasms",330.153757157253,18.1951389418056,37.0963624832,174.152618503,12.6745969837,317.479160173602
"West Sussex","Female","All Ages","Bladder cancer","Number",1997,"B.1.21","474","410","3","Neoplasms",410.735230222565,31.3260396382256,57.8393319798,271.579283732,27.0333730352,383.701857187327
"West Sussex","Female","All Ages","Brain and nervous system cancer","Number",1997,"B.1.22","477","410","3","Neoplasms",586.173910353822,20.7462081485697,52.0784352243,270.541411641,24.2907703341,561.883140019744
"West Sussex","Female","All Ages","Thyroid cancer","Number",1997,"B.1.23","480","410","3","Neoplasms",64.0672410163567,3.45960736254641,20.5671191728,170.677936754,10.5670230725,53.5002179438457
"West Sussex","Female","All Ages","Mesothelioma","Number",1997,"B.1.24","483","410","3","Neoplasms",91.2594298381945,5.41874708206677,6.10690475719,9.28881705353,1.98797773511,89.2714521030848
"West Sussex","Female","All Ages","Hodgkin lymphoma","Number",1997,"B.1.25","484","410","3","Neoplasms",51.9328129922264,1.73312207807794,11.3273582067,89.6117886767,6.36182790365,45.5709850885812
"West Sussex","Female","All Ages","Non-Hodgkin lymphoma","Number",1997,"B.1.26","485","410","3","Neoplasms",720.817036658367,39.312341584799,99.292891623,523.561675813,39.9808779961,680.836158662249
"West Sussex","Female","All Ages","Multiple myeloma","Number",1997,"B.1.27","486","410","3","Neoplasms",347.031874477117,21.7141125304257,34.820463482,113.337522259,22.1781223797,324.853752097374
"West Sussex","Female","All Ages","Leukemia","Number",1997,"B.1.28","487","410","3","Neoplasms",849.518735533604,46.9642804102811,93.8580878128,405.669321032,50.3081042615,799.210631272121
"West Sussex","Female","All Ages","Other malignant neoplasms","Number",1997,"B.1.29","489","410","3","Neoplasms",641.473851030256,28.7769403199699,84.1297579882,1259.64268543,106.487679458,534.986171572448
"West Sussex","Female","All Ages","Other pharynx cancer","Number",1997,"B.1.3","450","410","3","Neoplasms",94.2013571231654,4.31713325193636,7.22697401992,15.7885084947,2.38439883708,91.8169582860865
"West Sussex","Female","All Ages","Other neoplasms","Number",1997,"B.1.30","490","410","3","Neoplasms",176.821128200911,11.0853340236216,924.076649842,1174.27842657,6.99162022785,169.829507973063
"West Sussex","Female","All Ages","Esophageal cancer","Number",1997,"B.1.4","411","410","3","Neoplasms",554.378299559699,39.3018426025647,37.624767776,42.2955973577,9.10831999516,545.26997956454
"West Sussex","Female","All Ages","Stomach cancer","Number",1997,"B.1.5","414","410","3","Neoplasms",779.550029779788,56.9664348695934,77.6054731695,131.544531504,19.0789093371,760.471120442645
"West Sussex","Female","All Ages","Colon and rectum cancer","Number",1997,"B.1.6","441","410","3","Neoplasms",2534.13810840174,168.612080936846,364.615142585,1837.95190266,176.453034934,2357.68507346742
"West Sussex","Female","All Ages","Liver cancer","Number",1997,"B.1.7","417","410","3","Neoplasms",202.912998883737,12.8499964223077,12.527572543,0,2.76812949003,200.144869393709
"West Sussex","Female","All Ages","Gallbladder and biliary tract cancer","Number",1997,"B.1.8","453","410","3","Neoplasms",234.434026503205,16.3929121560908,20.6014998382,17.8019736767,4.6509581113,229.783068391907
"West Sussex","Female","All Ages","Pancreatic cancer","Number",1997,"B.1.9","456","410","3","Neoplasms",1150.07398678889,77.1532933582651,72.343234003,46.3510483794,13.618150111,1136.45583667792
"West Sussex","Female","All Ages","Blindness and vision impairment","Number",1997,"B.10.1","981","669","3","Sense organ diseases",1458.30423604506,NA,NA,30980.4894402,1458.30423605,NA
"West Sussex","Female","All Ages","Age-related and other hearing loss","Number",1997,"B.10.2","674","669","3","Sense organ diseases",2127.09364028575,NA,NA,81969.88571,2127.09364029,NA
"West Sussex","Female","All Ages","Other sense organ diseases","Number",1997,"B.10.3","679","669","3","Sense organ diseases",231.099999717647,NA,0,9673.08403133,231.099999718,NA
"West Sussex","Female","All Ages","Rheumatoid arthritis","Number",1997,"B.11.1","627","626","3","Musculoskeletal disorders",572.720115884618,10.5400617273697,159.790105656,3301.8112199,429.181726446,143.538389438872
"West Sussex","Female","All Ages","Osteoarthritis","Number",1997,"B.11.2","628","626","3","Musculoskeletal disorders",1186.62415305254,NA,1484.51984507,37816.7678194,1186.62415305,NA
"West Sussex","Female","All Ages","Low back pain","Number",1997,"B.11.3","630","626","3","Musculoskeletal disorders",6871.87413920702,NA,25323.6120138,61667.3799113,6871.87413921,NA
"West Sussex","Female","All Ages","Neck pain","Number",1997,"B.11.4","631","626","3","Musculoskeletal disorders",3121.88047525778,NA,5551.97356148,31889.5753613,3121.88047526,NA
"West Sussex","Female","All Ages","Gout","Number",1997,"B.11.5","632","626","3","Musculoskeletal disorders",58.4858763555595,NA,299.639504678,1925.88570215,58.4858763556,NA
"West Sussex","Female","All Ages","Other musculoskeletal disorders","Number",1997,"B.11.6","639","626","3","Musculoskeletal disorders",2158.48379021033,29.7423674547605,NA,21479.3573639,1803.04367368,355.440116527558
"West Sussex","Female","All Ages","Congenital birth defects","Number",1997,"B.12.1","641","640","3","Other non-communicable diseases",1106.10930347022,7.82503248592046,119.355074502,6012.72114861,561.776671389,544.332632081127
"West Sussex","Female","All Ages","Urinary diseases and male infertility","Number",1997,"B.12.2","594","640","3","Other non-communicable diseases",332.846447291066,29.830649855158,20565.9775589,404.942951803,27.5635451021,305.282902188945
"West Sussex","Female","All Ages","Gynecological diseases","Number",1997,"B.12.3","603","640","3","Other non-communicable diseases",1646.49029740258,0.655083263794734,19155.7514723,85809.6514262,1633.59060313,12.899694267911
"West Sussex","Female","All Ages","Hemoglobinopathies and hemolytic anemias
","Number",1997,"B.12.4","613","640","3","Other non-communicable diseases",165.451186253491,5.92472095419881,1027.47390754,97111.345306,93.0754587411,72.3757275123659
"West Sussex","Female","All Ages","Endocrine, metabolic, blood, and immune
disorders","Number",1997,"B.12.5","619","640","3","Other non-communicable diseases",405.649264889867,12.0509331974846,0,6193.69010701,152.143943057,253.50532183289
"West Sussex","Female","All Ages","Oral disorders","Number",1997,"B.12.6","680","640","3","Other non-communicable diseases",1873.53693510408,NA,150198.544077,199577.200773,1873.5369351,NA
"West Sussex","Female","All Ages","Sudden infant death syndrome","Number",1997,"B.12.7","686","640","3","Other non-communicable diseases",120.478161258135,1.37726154155644,NA,NA,NA,120.478161258135
"West Sussex","Female","All Ages","Rheumatic heart disease","Number",1997,"B.2.1","492","491","3","Cardiovascular diseases",275.891326830761,21.2405396831714,25.8499986043,43.9478462144,3.60571907928,272.285607751478
"West Sussex","Female","All Ages","Endocarditis","Number",1997,"B.2.10","503","491","3","Cardiovascular diseases",117.095933848473,9.27961444729322,65.9201157268,86.1685395515,7.0284557409,110.067478107568
"West Sussex","Female","All Ages","Other cardiovascular and circulatory
diseases","Number",1997,"B.2.11","507","491","3","Cardiovascular diseases",1687.77070016328,78.665210302563,NA,12943.1742493,666.892508835,1020.87819132847
"West Sussex","Female","All Ages","Ischemic heart disease","Number",1997,"B.2.2","493","491","3","Cardiovascular diseases",11590.0187276831,1062.6733455615,1683.66311514,12155.8477484,471.549331644,11118.4693960395
"West Sussex","Female","All Ages","Stroke","Number",1997,"B.2.3","494","491","3","Cardiovascular diseases",7688.90359122066,653.919766725682,937.065025004,6733.92426874,1149.67051611,6539.23307510569
"West Sussex","Female","All Ages","Hypertensive heart disease","Number",1997,"B.2.4","498","491","3","Cardiovascular diseases",359.438297175811,27.4573557649169,NA,763.072159973,62.0403428848,297.397954291031
"West Sussex","Female","All Ages","Non-rheumatic valvular heart disease","Number",1997,"B.2.5","504","491","3","Cardiovascular diseases",445.216800740943,36.7090430605631,5076.5915008,4965.2499465,75.2696098373,369.947190903671
"West Sussex","Female","All Ages","Cardiomyopathy and myocarditis","Number",1997,"B.2.6","499","491","3","Cardiovascular diseases",1367.40307993666,123.549832535886,261.733409815,1318.42667499,117.934630389,1249.46844954734
"West Sussex","Female","All Ages","Atrial fibrillation and flutter","Number",1997,"B.2.7","500","491","3","Cardiovascular diseases",1078.77956988688,81.2420512114532,405.800507773,5372.90295937,414.227755669,664.551814218289
"West Sussex","Female","All Ages","Aortic aneurysm","Number",1997,"B.2.8","501","491","3","Cardiovascular diseases",876.955109947312,77.5813630915924,NA,NA,NA,876.955109947313
"West Sussex","Female","All Ages","Peripheral artery disease","Number",1997,"B.2.9","502","491","3","Cardiovascular diseases",172.45124439993,13.4047614585471,909.76395337,13240.0796274,54.1880369314,118.263207468515
"West Sussex","Female","All Ages","Chronic obstructive pulmonary disease","Number",1997,"B.3.1","509","508","3","Chronic respiratory diseases",4336.35845132139,189.109159327813,1383.07800642,30539.0803903,2015.84939717,2320.50905415432
"West Sussex","Female","All Ages","Pneumoconiosis","Number",1997,"B.3.2","510","508","3","Chronic respiratory diseases",3.73460367604076,0.0329766325620438,1.49754975981,20.9531133067,3.3010769679,0.433526708136117
"West Sussex","Female","All Ages","Asthma","Number",1997,"B.3.3","515","508","3","Chronic respiratory diseases",1776.00593796435,13.9152301277678,1823.80299739,40203.6017726,1548.50144124,227.504496722326
"West Sussex","Female","All Ages","Interstitial lung disease and pulmonary
sarcoidosis","Number",1997,"B.3.4","516","508","3","Chronic respiratory diseases",231.762790192854,13.1509163920963,35.0674041014,547.699819777,58.0684696852,173.694320507623
"West Sussex","Female","All Ages","Other chronic respiratory diseases","Number",1997,"B.3.5","520","508","3","Chronic respiratory diseases",155.185905789046,9.00806830636965,NA,NA,64.5823426492,90.6035631398927
"West Sussex","Female","All Ages","Cirrhosis and other chronic liver
diseases","Number",1997,"B.4.1","521","526","3","Digestive diseases",846.090490861851,36.3053075128757,112.37657464,34859.379715,64.365851501,781.724639360836
"West Sussex","Female","All Ages","Other digestive diseases","Number",1997,"B.4.10","541","526","3","Digestive diseases",476.922708628989,40.3177637457401,NA,NA,46.4997341291,430.422974499936
"West Sussex","Female","All Ages","Upper digestive system diseases","Number",1997,"B.4.2","992","526","3","Digestive diseases",1137.66794379797,47.4757703053683,23272.1634358,52739.3744948,630.932489225,506.735454573115
"West Sussex","Female","All Ages","Appendicitis","Number",1997,"B.4.3","529","526","3","Digestive diseases",26.0523981441637,1.57980485361814,253.388155876,9.65741697256,3.13151437668,22.9208837674804
"West Sussex","Female","All Ages","Paralytic ileus and intestinal
obstruction","Number",1997,"B.4.4","530","526","3","Digestive diseases",226.072233686083,21.8630110434949,177.656175223,6.02633945938,1.94113423486,224.131099451219
"West Sussex","Female","All Ages","Inguinal, femoral, and abdominal hernia","Number",1997,"B.4.5","531","526","3","Digestive diseases",146.256319258388,7.87120700661591,2247.39535815,698.321056166,65.6238571719,80.6324620865187
"West Sussex","Female","All Ages","Inflammatory bowel disease","Number",1997,"B.4.6","532","526","3","Digestive diseases",449.958466441485,11.1567388852947,135.135460934,2137.89824986,314.943728063,135.014738378324
"West Sussex","Female","All Ages","Vascular intestinal disorders","Number",1997,"B.4.7","533","526","3","Digestive diseases",221.718425762323,18.7802549886083,63.9797644162,9.85871016092,3.00598160253,218.712444159796
"West Sussex","Female","All Ages","Gallbladder and biliary diseases","Number",1997,"B.4.8","534","526","3","Digestive diseases",104.595975798214,9.88203429268958,520.932132415,3211.414919,2.29802652414,102.297949274075
"West Sussex","Female","All Ages","Pancreatitis","Number",1997,"B.4.9","535","526","3","Digestive diseases",150.351423432821,7.71144397162388,130.080052391,692.661840913,39.4465482191,110.904875213697
"West Sussex","Female","All Ages","Alzheimer's disease and other dementias","Number",1997,"B.5.1","543","542","3","Neurological disorders",5463.00504319504,544.416358026829,1262.22886233,7735.18239354,1189.56730753,4273.43773566195
"West Sussex","Female","All Ages","Parkinson's disease","Number",1997,"B.5.2","544","542","3","Neurological disorders",497.909908786394,37.3533001871072,77.479071463,726.426891357,102.969607697,394.940301088975
"West Sussex","Female","All Ages","Epilepsy","Number",1997,"B.5.3","545","542","3","Neurological disorders",469.912091489797,4.04504626449285,131.885900681,1410.41853053,338.065958367,131.846133122985
"West Sussex","Female","All Ages","Multiple sclerosis","Number",1997,"B.5.4","546","542","3","Neurological disorders",404.488115177758,8.60046056099225,15.9490479434,690.699240542,172.870765752,231.617349426022
"West Sussex","Female","All Ages","Motor neuron disease","Number",1997,"B.5.5","554","542","3","Neurological disorders",216.222818499524,10.6943825559647,12.5352113384,34.8318376113,7.40802119751,208.814797302011
"West Sussex","Female","All Ages","Headache disorders","Number",1997,"B.5.6","972","542","3","Neurological disorders",4457.39303747323,NA,58627.1249715,194313.081614,4457.39303747,NA
"West Sussex","Female","All Ages","Other neurological disorders","Number",1997,"B.5.7","557","542","3","Neurological disorders",239.939915058057,7.82083126247999,0,1.18027401086,68.1217212403,171.818193817784
"West Sussex","Female","All Ages","Schizophrenia","Number",1997,"B.6.1","559","558","3","Mental disorders",660.075725830968,NA,37.8361213957,1059.72158102,660.075725831,NA
"West Sussex","Female","All Ages","Other mental disorders","Number",1997,"B.6.10","585","558","3","Mental disorders",526.361743726853,NA,0,7246.14932301,526.361743727,NA
"West Sussex","Female","All Ages","Depressive disorders","Number",1997,"B.6.2","567","558","3","Mental disorders",3409.55476423795,NA,20255.0103907,21164.523197,3409.55476424,NA
"West Sussex","Female","All Ages","Bipolar disorder","Number",1997,"B.6.3","570","558","3","Mental disorders",933.538607344914,NA,286.420094618,4652.85141569,933.538607345,NA
"West Sussex","Female","All Ages","Anxiety disorders","Number",1997,"B.6.4","571","558","3","Mental disorders",1968.56640677718,NA,2232.96281312,20990.7582991,1968.56640678,NA
"West Sussex","Female","All Ages","Eating disorders","Number",1997,"B.6.5","572","558","3","Mental disorders",462.37422141435,0.119674334687193,568.208502888,2181.03265238,455.99571464,6.37850677453338
"West Sussex","Female","All Ages","Autism spectrum disorders","Number",1997,"B.6.6","575","558","3","Mental disorders",134.044045253555,NA,10.8246644773,902.713707723,134.044045254,NA
"West Sussex","Female","All Ages","Attention-deficit/hyperactivity disorder
","Number",1997,"B.6.7","578","558","3","Mental disorders",15.138783055653,NA,63.9625019878,1251.80598745,15.1387830557,NA
"West Sussex","Female","All Ages","Conduct disorder","Number",1997,"B.6.8","579","558","3","Mental disorders",158.818780638229,NA,431.438410505,1312.59573772,158.818780638,NA
"West Sussex","Female","All Ages","Idiopathic developmental intellectual
disability","Number",1997,"B.6.9","582","558","3","Mental disorders",66.2014228320159,NA,NA,1424.66055899,66.201422832,NA
"West Sussex","Female","All Ages","Alcohol use disorders","Number",1997,"B.7.1","560","973","3","Substance use disorders",370.567584917541,2.50140153532336,1377.4336634,2849.27495576,280.291115221,90.2764696962852
"West Sussex","Female","All Ages","Drug use disorders","Number",1997,"B.7.2","561","973","3","Substance use disorders",748.394386353905,3.53663894129511,333.253589219,3390.99516243,592.580279508,155.814106846022
"West Sussex","Female","All Ages","Diabetes mellitus","Number",1997,"B.8.1","587","974","3","Diabetes and kidney diseases",1909.24698566952,44.6377290683675,908.717251272,20923.2558329,1339.26250587,569.984479801343
"West Sussex","Female","All Ages","Chronic kidney disease","Number",1997,"B.8.2","589","974","3","Diabetes and kidney diseases",861.138951011759,33.2460016314665,2168.72205982,48092.7560849,492.612481336,368.52646967594
"West Sussex","Female","All Ages","Acute glomerulonephritis","Number",1997,"B.8.3","588","974","3","Diabetes and kidney diseases",1.19679241147479,0.0922181659204951,13.8098650396,0.942568700277,0.0476698836528,1.14912252782199
"West Sussex","Female","All Ages","Dermatitis","Number",1997,"B.9.1","654","653","3","Skin and subcutaneous diseases",1162.30860383302,NA,19254.1460026,29033.7336559,1162.30860383,NA
"West Sussex","Female","All Ages","Urticaria","Number",1997,"B.9.10","664","653","3","Skin and subcutaneous diseases",220.966399384035,NA,6607.94706322,3767.23452152,220.966399384,NA
"West Sussex","Female","All Ages","Decubitus ulcer","Number",1997,"B.9.11","665","653","3","Skin and subcutaneous diseases",73.5833111558183,4.27202347586905,792.077355953,218.169714725,33.8147617851,39.7685493707104
"West Sussex","Female","All Ages","Other skin and subcutaneous diseases","Number",1997,"B.9.12","668","653","3","Skin and subcutaneous diseases",289.113182256323,1.12754090982605,52900.6368719,51428.8027818,277.554800694,11.5583815620889
"West Sussex","Female","All Ages","Psoriasis","Number",1997,"B.9.2","655","653","3","Skin and subcutaneous diseases",694.70532317688,NA,722.422341315,8197.41554858,694.705323177,NA
"West Sussex","Female","All Ages","Bacterial skin diseases","Number",1997,"B.9.3","980","653","3","Skin and subcutaneous diseases",113.230500345108,8.3170443876263,25952.1309945,970.402875528,23.5470179011,89.6834824439948
"West Sussex","Female","All Ages","Scabies","Number",1997,"B.9.4","658","653","3","Skin and subcutaneous diseases",13.8640015338566,NA,1633.57255038,540.651415521,13.8640015339,NA
"West Sussex","Female","All Ages","Fungal skin diseases","Number",1997,"B.9.5","659","653","3","Skin and subcutaneous diseases",267.65484417967,NA,147380.280638,49229.1150824,267.65484418,NA
"West Sussex","Female","All Ages","Viral skin diseases","Number",1997,"B.9.6","660","653","3","Skin and subcutaneous diseases",198.602078688169,NA,3725.82488879,6488.58946089,198.602078688,NA
